algorithm,prediction_multiplier,cr
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
Bayesian,0.01,1.0
