algorithm,noise,cr
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
Discrete Bayesian,0,1.0
