config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.5,0.4233058343425549,7.58919375,2.9065238791281125,13.0,13.0,0.9827,0.9726,193,253,-60,121.3642,121.8313,-0.46710000000000207,-0.38339901158405276
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.3,0.2691183331224457,7.6154625,2.9676439848684413,12.625,14.5,0.9827,0.9726,217,253,-36,121.7845,121.8313,-0.046800000000004616,-0.038413773800332604
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.1,0.09296877754724521,7.6176875,2.9765755590610548,12.625,14.625,0.9827,0.9726,241,253,-12,121.8201,121.8313,-0.01120000000000232,-0.009193039883841278
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.1,0.09403685199299092,7.6186,2.98009848536055,12.625,14.625,0.9827,0.9726,265,253,12,121.8347,121.8313,0.0033999999999991815,0.002790744250450567
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.3,0.2787185462053705,7.61869375,2.980588204313086,12.625,14.625,0.9827,0.9726,289,253,36,121.8362,121.8313,0.004900000000006344,0.004021954949184933
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.5,0.44929838723627247,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,313,253,60,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.3,0.5185998260177609,6.6555375,1.8526487974925079,8.0,8.0,0.9827,0.9726,113,253,-140,106.4257,121.8313,-15.405599999999993,-12.645026360221054
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.5,0.3184118912332888,7.16711875,2.3213988529627754,9.4375,9.4375,0.9827,0.9726,136,253,-117,114.611,121.8313,-7.220299999999995,-5.926473738686195
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.7,0.1660306128928485,7.52505,2.788341237579382,11.75,11.75,0.9827,0.9726,173,253,-80,120.3379,121.8313,-1.493399999999994,-1.2257933716540774
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,1.5,0.1668061375648991,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,434,253,181,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,2.5,0.33472809438811535,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,466,253,213,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,4.0,0.4539802533654492,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,469,253,216,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.2,0.11575493869352964,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,470,253,217,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.4,0.23150987738705933,7.61859375,2.9802131087983157,12.625,14.625,0.9827,0.9726,470,253,217,121.8346,121.8313,0.003299999999995862,0.0027086635371992764
