scenario_type,parameter,tv_distance,mean_cr,median_cr,std_cr,percentile_95,percentile_99,max_cr,failure_rate,severe_failure,expected_regret,t_star,se
Mean Shift,-60,0.7631011119597424,1.0014933333333333,1.0,0.012666640348218008,1.0,1.0600666666666683,1.28,0.0,0.0,0.224,242,0.0001266664034821801
Mean Shift,-40,0.5744555274504317,1.0013813333333335,1.0,0.012723438394885983,1.0,1.0533333333333332,1.3133333333333332,0.0,0.0,0.2072,260,0.00012723438394885984
Mean Shift,-20,0.31057817298271945,1.0015226666666668,1.0,0.012650153269778433,1.0,1.06,1.26,0.0,0.0,0.2284,301,0.00012650153269778432
Mean Shift,0,0.0,1.0017106666666666,1.0,0.014725102232326407,1.0,1.0666666666666667,1.3133333333333332,0.0,0.0,0.2566,301,0.00014725102232326408
Mean Shift,20,0.31079315751483205,1.0013853333333333,1.0,0.012418921364179493,1.0,1.0533333333333332,1.2733333333333334,0.0,0.0,0.2078,301,0.00012418921364179493
Mean Shift,40,0.5762203136703207,1.0016213333333335,1.0,0.014006498760721282,1.0,1.06,1.4266666666666667,0.0,0.0,0.2432,301,0.00014006498760721283
Mean Shift,60,0.7697946882456497,1.0014533333333335,1.0,0.012683914544367477,1.0,1.0533333333333332,1.3066666666666666,0.0,0.0,0.218,301,0.00012683914544367477
Mean Shift,80,0.8903522382770528,1.0015266666666667,1.0,0.012853587018715924,1.0,1.06,1.2666666666666666,0.0,0.0,0.229,301,0.00012853587018715924
Mean Shift,100,0.9544695022139229,1.0013406666666667,1.0,0.011837368452690152,1.0,1.0466666666666666,1.32,0.0,0.0,0.2011,301,0.00011837368452690152
Variance Mismatch,0.2,0.646898563856375,1.0011333333333332,1.0,0.010679069030708968,1.0,1.04,1.28,0.0,0.0,0.17,301,0.00010679069030708967
Variance Mismatch,0.5,0.322491230586999,1.0014546666666666,1.0,0.01848429665749531,1.0,1.0466666666666666,2.3333333333333335,0.0001,0.0,0.2182,201,0.00018484296657495308
Variance Mismatch,1.0,0.0,1.00131,1.0,0.011944703653599573,1.0,1.0466666666666666,1.3333333333333333,0.0,0.0,0.1965,301,0.00011944703653599573
Variance Mismatch,2.0,0.3107901696080332,1.001318,1.0,0.011217244303664243,1.0,1.0533333333333332,1.24,0.0,0.0,0.1977,301,0.00011217244303664243
Variance Mismatch,4.0,0.5102886650577488,1.0015513333333335,1.0,0.013800127548397344,1.0,1.0666666666666667,1.36,0.0,0.0,0.2327,301,0.00013800127548397342
Uniform Mixture,0.0,0.0,1.0015539999999998,1.0,0.013406414363411914,1.0,1.0534000000000014,1.2733333333333334,0.0,0.0,0.2331,301,0.00013406414363411915
Uniform Mixture,0.2,0.12566172596997838,1.0013373333333335,1.0,0.012928067129861049,1.0,1.0466666666666666,1.34,0.0,0.0,0.2006,301,0.00012928067129861049
Uniform Mixture,0.4,0.25132345193995675,1.0015926666666668,1.0,0.013310355888958132,1.0,1.0600666666666683,1.2733333333333334,0.0,0.0,0.2389,301,0.00013310355888958132
Uniform Mixture,0.6,0.3769851779099351,1.0013420000000002,1.0,0.0119493367179159,1.0,1.0467333333333348,1.2933333333333332,0.0,0.0,0.2013,301,0.000119493367179159
Uniform Mixture,0.8,0.5026469038799135,1.0011866666666667,1.0,0.010895020428939759,1.0,1.0466666666666666,1.3266666666666667,0.0,0.0,0.178,301,0.00010895020428939759
Uniform Mixture,0.95,0.5968931983573973,1.0014373333333335,1.0,0.01342323367599,1.0,1.0533333333333332,1.2933333333333332,0.0,0.0,0.2156,301,0.0001342323367599
Early Bias,early,0.8715277188387492,1.0011700000000001,1.0,0.011640551018769681,1.0,1.0333333333333334,1.3133333333333332,0.0,0.0,0.1755,301,0.00011640551018769681
Late Bias,late,0.9312905607303197,1.0014126666666667,1.0,0.01260503582892093,1.0,1.06,1.24,0.0,0.0,0.2119,301,0.0001260503582892093
Shape Mismatch,0.5,0.5784862849286677,1.0013773333333333,1.0,0.012126091767073499,1.0,1.0467333333333348,1.28,0.0,0.0,0.2066,301,0.00012126091767073499
Shape Mismatch,1.0,0.5807849931643991,1.0014693333333333,1.0,0.013099295860621415,1.0,1.06,1.2933333333333332,0.0,0.0,0.2204,301,0.00013099295860621415
Shape Mismatch,2.0,0.676651821907581,1.0013006666666666,1.0,0.01223759770778332,1.0,1.0534000000000014,1.42,0.0,0.0,0.1951,301,0.0001223759770778332
Bimodal Wrong,bimodal,0.8233021539260896,1.001428,1.0,0.012394020039068376,1.0,1.0533333333333332,1.2666666666666666,0.0,0.0,0.2142,301,0.00012394020039068377
