config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ=0.42),500,110,Mean Error,-0.5,0.4233058343425549,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,458,501,-43,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Mean Error,-0.3,0.2691183331224457,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,475,501,-26,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Mean Error,-0.1,0.09296877754724521,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Mean Error,0.1,0.09403685199299092,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Mean Error,0.3,0.2787185462053705,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Mean Error,0.5,0.44929838723627247,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,0.3,0.5185998260177609,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,0.5,0.3184118912332888,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,322,501,-179,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,0.7,0.1660306128928485,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,402,501,-99,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,1.5,0.1668061375648991,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,2.5,0.33472809438811535,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Variance Error,4.0,0.4539802533654492,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Poor Model,0.2,0.11575493869352964,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Poor Model,0.4,0.23150987738705933,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Poor Model,0.6,0.347264816080589,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
High Uncertainty (σ/μ=0.42),500,110,Poor Model,0.8,0.46301975477411866,1.2307281818181819,0.29368845442953095,1.8363636363636364,2.172727272727273,0.1783,0.0228,501,501,0,121.1822,121.1822,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Mean Error,-0.5,0.5315476245116718,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,285,301,-16,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Mean Error,-0.3,0.3421073363244973,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Mean Error,-0.1,0.11842917296950967,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
Medium Uncertainty (σ/μ=0.33),300,80,Mean Error,0.1,0.11889947288789499,1.22266625,0.26159816531456614,1.750624999999991,2.0,0.1558,0.0094,301,301,0,90.2599,90.2599,0.0,0.0
