config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,-0.5,0.4233058343425549,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,455,501,-46,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,-0.3,0.2691183331224457,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,470,501,-31,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,-0.1,0.09296877754724521,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,500,501,-1,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,0.1,0.09403685199299092,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,0.3,0.2787185462053705,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Mean Error,0.5,0.44929838723627247,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,0.3,0.5185998260177609,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,0.5,0.3184118912332888,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,320,501,-181,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,0.7,0.1660306128928485,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,400,501,-101,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,1.5,0.1668061375648991,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,2.5,0.33472809438811535,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Variance Error,4.0,0.4539802533654492,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Poor Model,0.2,0.11575493869352964,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Poor Model,0.4,0.23150987738705933,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Poor Model,0.6,0.347264816080589,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
High Uncertainty (σ/μ≈0.42),500,48,Poor Model,0.8,0.46301975477411866,2.5593729166666668,0.9570633817283889,4.208333333333333,4.875,0.8448,0.6955,501,501,0,121.8346,121.8346,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,-0.5,0.5315476245116718,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,283,301,-18,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,-0.3,0.3421073363244973,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,300,301,-1,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,-0.1,0.11842917296950967,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,0.1,0.11889947288789499,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,0.3,0.3468735564489865,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Mean Error,0.5,0.5464456558609536,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,0.3,0.5213386600879211,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,0.5,0.3220042761854811,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,212,301,-89,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,0.7,0.16996841564642243,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,258,301,-43,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,1.5,0.18097416977891262,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,2.5,0.3580221934675232,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Variance Error,4.0,0.46853654446266074,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Poor Model,0.2,0.11447170851652837,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Poor Model,0.4,0.22894341703305676,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Poor Model,0.6,0.3434151255495851,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Medium Uncertainty (σ/μ≈0.33),300,36,Poor Model,0.8,0.4578868340661135,2.5092444444444446,0.8132184154238948,3.888888888888889,4.416666666666667,0.8818,0.7126,301,301,0,89.9354,89.9354,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,-0.5,0.5722534270580772,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,193,201,-8,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,-0.3,0.3707188705090395,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,-0.1,0.12862729448077426,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,0.1,0.1289278365192098,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,0.3,0.3739143670774694,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Mean Error,0.5,0.5833789693114331,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,0.3,0.5215938918101936,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,0.5,0.32248060249813326,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,146,201,-55,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,0.7,0.17048346319642052,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,178,201,-23,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,1.5,0.18486055900303192,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,2.5,0.3663652499604529,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Variance Error,4.0,0.47458484051346717,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Poor Model,0.2,0.11433408218395018,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Poor Model,0.4,0.22866816436790038,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Poor Model,0.6,0.3430022465518506,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
Low Uncertainty (σ/μ≈0.31),200,26,Poor Model,0.8,0.4573363287358008,2.5125346153846153,0.7557492651501947,3.8076923076923075,4.3076923076923075,0.9011,0.7339,201,201,0,65.1574,65.1574,0.0,0.0
