scenario_type,parameter,label,tv_distance,mean_cr,median_cr,std_cr,percentile_95,percentile_99,max_cr,failure_rate,severe_failure,expected_regret,relative_regret,t_star,se
Mean Shift,-60.0,Shift -60%,0.7630539530762764,1.016112,1.0,0.052246496778660334,1.13,1.2701000000000022,1.53,0.0003,0.0,1.6112,0.016112,195,0.0005224649677866033
Mean Shift,-40.0,Shift -40%,0.5744095924567875,1.0169700000000002,1.0,0.052831791752901786,1.14,1.27,1.57,0.0002,0.0,1.697,0.01697,211,0.0005283179175290179
Mean Shift,-20.0,Shift -20%,0.3105536186823033,1.0169190000000001,1.0,0.05303865334710987,1.13,1.28,1.51,0.0002,0.0,1.6919,0.016919,227,0.0005303865334710987
Mean Shift,-10.0,Shift -10%,0.15843495455592213,1.017513,1.0,0.05498879165539804,1.13,1.28,1.58,0.0006,0.0,1.7513,0.017513,401,0.0005498879165539804
Mean Shift,0.0,Shift +0%,0.0,1.017044,1.0,0.052571840788052916,1.13,1.2601000000000022,1.53,0.0001,0.0,1.7044,0.017044,401,0.0005257184078805292
Mean Shift,10.0,Shift +10%,0.1584758407433796,1.017127,1.0,0.054045054887526756,1.13,1.27,1.72,0.0002,0.0,1.7127,0.017127,251,0.0005404505488752675
Mean Shift,20.0,Shift +20%,0.31077089420896203,1.0171480000000002,1.0,0.05339242615874569,1.14,1.26,1.57,0.0002,0.0,1.7148,0.017148,401,0.0005339242615874568
Mean Shift,40.0,Shift +40%,0.5761854494240348,1.016473,1.0,0.052644538327746536,1.12,1.27,1.52,0.0003,0.0,1.6473,0.016472999999999998,401,0.0005264453832774654
Mean Shift,60.0,Shift +60%,0.7697596867718803,1.016598,1.0,0.0519909290325742,1.13,1.26,1.59,0.0001,0.0,1.6598,0.016598,291,0.000519909290325742
Mean Shift,100.0,Shift +100%,0.9544539929289152,1.01562,1.0,0.04943581687399329,1.12,1.25,1.54,0.0001,0.0,1.562,0.015619999999999998,401,0.0004943581687399329
Mean Shift,150.0,Shift +150%,0.9972946218845425,1.016638,1.0,0.05208616181698632,1.13,1.25,1.61,0.0005,0.0,1.6638,0.016638,362,0.0005208616181698631
Variance Mismatch,0.1,Var ×0.1,0.7989705365429604,1.016254,1.0,0.05123602245490667,1.13,1.26,1.6,0.0002,0.0,1.6254,0.016254,401,0.0005123602245490666
Variance Mismatch,0.3,Var ×0.3,0.5218109921138877,1.0163609999999998,1.0,0.051051036226799386,1.13,1.26,1.49,0.0,0.0,1.6361,0.016360999999999997,401,0.0005105103622679939
Variance Mismatch,0.5,Var ×0.5,0.3227780172340661,1.01675,1.0,0.05335880636054017,1.13,1.28,1.64,0.0002,0.0,1.675,0.01675,401,0.0005335880636054016
