scenario_type,parameter,label,tv_distance,mean_cr,median_cr,std_cr,percentile_95,percentile_99,max_cr,failure_rate,severe_failure,expected_regret,relative_regret,t_star,buy_rate,se
Mean Shift,-50.0,-50%,0.3446690136846654,1.2020560000000002,1.02,0.29110751832050347,1.82,2.19,2.83,0.1534,0.0229,20.2056,0.202056,448,0.0,0.002911075183205035
Mean Shift,-30.0,-30%,0.21761136908466064,1.2067860000000001,1.02,0.2955280763115221,1.85,2.17,2.94,0.1613,0.0226,20.6786,0.20678599999999997,465,0.0,0.002955280763115221
Mean Shift,-10.0,-10%,0.0751836312364323,1.20344,1.01,0.2950423891598292,1.83,2.19,2.79,0.1598,0.0242,20.344,0.20344,488,0.0,0.0029504238915982924
Mean Shift,0.0,+0%,0.0,1.2086599999999998,1.02,0.29949783687938303,1.84,2.2,2.95,0.1643,0.0254,20.866,0.20865999999999998,501,0.0,0.0029949783687938302
Mean Shift,10.0,+10%,0.07657710055331363,1.205307,1.0,0.2959931873332472,1.84,2.17,2.82,0.164,0.0223,20.5307,0.20530699999999996,501,0.0,0.002959931873332472
Mean Shift,30.0,+30%,0.22980661974456432,1.203968,1.01,0.29674544775291195,1.83,2.180100000000002,3.29,0.1595,0.0245,20.3968,0.20396799999999998,501,0.0,0.0029674544775291196
Mean Shift,50.0,+50%,0.37661491631799393,1.206607,1.02,0.29663485428161923,1.84,2.16,2.93,0.1599,0.0242,20.6607,0.206607,501,0.0,0.0029663485428161923
Mean Shift,80.0,+80%,0.5714199031011903,1.200866,1.0,0.2931362873004521,1.82,2.18,2.79,0.1568,0.0241,20.0866,0.200866,501,0.0,0.002931362873004521
Variance Error,0.3,σ×0.3,0.512828558338418,1.2076530000000003,1.01,0.3196145756042641,1.83,2.15,3.21,0.1588,0.0238,20.7653,0.20765299999999998,222,0.0062,0.003196145756042641
Variance Error,0.5,σ×0.5,0.3108059872670251,1.196795,1.0,0.28730271885282604,1.81,2.13,2.84,0.1546,0.0192,19.6795,0.19679499999999997,301,0.0,0.0028730271885282605
Variance Error,0.7,σ×0.7,0.15853885237192036,1.203841,1.01,0.29390354650542216,1.82,2.14,3.03,0.1621,0.0204,20.3841,0.203841,383,0.0,0.0029390354650542217
Variance Error,1.0,σ×1.0,0.0,1.203454,1.01,0.2919179533587294,1.82,2.15,3.0,0.1609,0.0223,20.3454,0.203454,501,0.0,0.0029191795335872938
Variance Error,1.5,σ×1.5,0.15483545635490997,1.2022950000000001,1.01,0.2916961289392847,1.82,2.160100000000002,2.72,0.1613,0.0222,20.2295,0.20229499999999997,501,0.0,0.002916961289392847
Variance Error,2.5,σ×2.5,0.3208437055056837,1.2055619999999998,1.02,0.2953256268571826,1.83,2.2,3.09,0.1597,0.0226,20.5562,0.205562,501,0.0,0.0029532562685718263
Variance Error,4.0,σ×4.0,0.4496238431373325,1.206434,1.01,0.29673683444913257,1.82,2.170100000000002,2.82,0.1654,0.0241,20.6434,0.206434,501,0.0,0.002967368344491326
Poor Model,0.0,Unif 0.0,8.065255031587277e-17,1.202021,1.01,0.29261436717254263,1.82,2.15,3.03,0.1618,0.021,20.2021,0.202021,501,0.0,0.002926143671725426
Poor Model,0.2,Unif 0.2,0.11853434023580407,1.2030419999999997,1.02,0.2961492135253227,1.84,2.19,2.82,0.1583,0.0248,20.3042,0.20304199999999997,501,0.0,0.002961492135253227
Poor Model,0.4,Unif 0.4,0.23706868047160823,1.200516,1.01,0.2899406496199355,1.82,2.150100000000002,2.88,0.1543,0.0224,20.0516,0.20051599999999997,501,0.0,0.002899406496199355
Poor Model,0.6,Unif 0.6,0.35560302070741223,1.1987709999999998,1.01,0.2875914297089609,1.81,2.15,2.99,0.1527,0.0205,19.8771,0.198771,501,0.0,0.002875914297089609
Poor Model,0.8,Unif 0.8,0.47413736094321646,1.206283,1.01,0.2938858465460356,1.81,2.16,2.88,0.1631,0.0213,20.6283,0.206283,501,0.0,0.002938858465460356
Timing Error,40.0,Very Early,0.6746422002538369,1.2161520000000001,1.01,0.35234328072881915,1.81,3.01,3.01,0.1576,0.019,21.6152,0.216152,202,0.0181,0.0035234328072881915
Timing Error,60.0,Early,0.47736231073955704,1.204315,1.01,0.29567305090302537,1.83,2.18,3.63,0.1616,0.0204,20.4315,0.204315,264,0.0003,0.0029567305090302536
Timing Error,150.0,Late,0.420637527978908,1.208741,1.03,0.29541105546030066,1.83,2.15,2.83,0.1655,0.0234,20.8741,0.20874099999999998,467,0.0,0.0029541105546030066
Timing Error,250.0,Very Late,0.8264998534050547,1.2043160000000002,1.02,0.29455530622761267,1.83,2.18,2.88,0.1595,0.0232,20.4316,0.204316,501,0.0,0.0029455530622761266
Wrong Family,0.5,Exp 0.5,0.4008362014301643,1.2045139999999999,1.01,0.29193346214271476,1.81,2.170100000000002,3.27,0.1612,0.0205,20.4514,0.20451399999999997,501,0.0,0.0029193346214271476
Wrong Family,1.0,Exp 1.0,0.36679488821604245,1.2039739999999999,1.01,0.29349657808590346,1.83,2.17,2.8,0.1573,0.0232,20.3974,0.203974,501,0.0,0.0029349657808590344
Wrong Family,2.0,Exp 2.0,0.5084579126808,1.2069919999999998,1.02,0.2961918042324761,1.84,2.17,2.89,0.1635,0.0242,20.6992,0.206992,501,0.0,0.002961918042324761
