config,M,b,scenario_type,parameter,tv_distance,mean_cr,std_cr,p95_cr,p99_cr,failure_rate,severe_fail,t_star,t_star_optimal,threshold_error,avg_cost,baseline_cost,regret,pct_cost_increase
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.5,0.4233058343425549,7.57454248045263,2.9400083602788616,13.0,13.0,0.9814,0.9684,193,253,-60,120.65114045442961,121.15652821116878,-0.505387756739168,-0.4171362156055731
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.3,0.2691183331224457,7.600209978347866,3.0077245645656396,12.625,14.5,0.9791,0.968,217,253,-36,121.05998533207917,121.15652821116878,-0.09654287908961123,-0.07968442189210194
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,-0.09999999999999998,0.09296877754724521,7.6057399394125484,3.023288239802499,12.625,14.8125,0.9794,0.9661,241,253,-12,121.14806934650568,121.15652821116878,-0.008458864663097643,-0.006981765479739015
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.10000000000000009,0.09403685199299092,7.606385342070363,3.0337318645504148,12.6875,14.688125000000014,0.9801,0.9677,265,253,12,121.1583496461962,121.15652821116878,0.0018214350274234903,0.0015033734081987189
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.30000000000000004,0.2787185462053705,7.6063309685550475,3.0127347250070433,12.625,14.6875,0.9814,0.9686,289,253,36,121.15748355736639,121.15652821116878,0.0009553461976139488,0.0007885222626624261
High Uncertainty (σ/μ≈0.42),500,16,Mean Error,0.5,0.44929838723627247,7.606284834321833,3.0266990310065816,12.625,14.625,0.98,0.9672,313,253,60,121.15674870798563,121.15652821116878,0.00022049681685132327,0.00018199334374042987
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.3,0.5185998260177609,6.640902895394278,1.8869705164088857,8.0,8.0,0.9827,0.9697,113,253,-140,105.77965732506716,121.15652821116878,-15.376870886101614,-12.691739449070894
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.5,0.3184118912332888,7.145030997550447,2.339540322314562,9.4375,9.4375,0.9797,0.9699,136,253,-117,113.8096644993928,121.15652821116878,-7.346863711775981,-6.063943743065026
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,0.7,0.1660306128928485,7.510796636210098,2.82500139028664,11.75,11.75,0.9796,0.967,173,253,-80,119.6357644331135,121.15652821116878,-1.520763778055283,-1.2552058073211543
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,1.5,0.1668061375648991,7.606270431517258,3.0532680724701646,12.625,14.875,0.9796,0.9654,434,253,181,121.15651929283582,121.15652821116878,-8.918332952134733e-06,-7.361000751515921e-06
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,2.5,0.33472809438811535,7.606270431428565,3.0112008558303054,12.6875,14.75,0.9808,0.9683,466,253,213,121.1565192914231,121.15652821116878,-8.919745681623681e-06,-7.362166788137973e-06
High Uncertainty (σ/μ≈0.42),500,16,Variance Error,4.0,0.4539802533654492,7.606270431428116,3.044896298151234,12.625,14.938125000000014,0.9792,0.966,469,253,216,121.15651929141593,121.15652821116878,-8.919752843894457e-06,-7.362172699722665e-06
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.2,0.11575493869352964,7.606270431428002,3.015428145710024,12.565624999999955,14.563125000000014,0.98,0.968,470,253,217,121.15651929141413,121.15652821116878,-8.919754648673006e-06,-7.3621741893481745e-06
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.4,0.23150987738705933,7.606270431428002,3.0006708901017567,12.5,14.500625000000014,0.9777,0.9667,470,253,217,121.15651929141413,121.15652821116878,-8.919754648673006e-06,-7.3621741893481745e-06
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.6,0.347264816080589,7.606270431428002,3.0207953312876548,12.625,14.625,0.9808,0.9691,470,253,217,121.15651929141413,121.15652821116878,-8.919754648673006e-06,-7.3621741893481745e-06
High Uncertainty (σ/μ≈0.42),500,16,Poor Model,0.8,0.46301975477411866,7.606270431428002,3.053643936922632,12.75,14.875,0.98,0.9679,470,253,217,121.15651929141413,121.15652821116878,-8.919754648673006e-06,-7.3621741893481745e-06
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.5,0.5315476245116718,7.283076894000641,2.0978209526653155,9.5,9.5,0.9929,0.987,103,148,-45,87.28513971521673,90.14006707974139,-2.854927364524656,-3.167212380704217
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.3,0.3421073363244973,7.467545290940476,2.367052313485401,11.0,11.0,0.9927,0.9861,121,148,-27,89.49592919805177,90.14006707974139,-0.6441378816896162,-0.714596630064394
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,-0.09999999999999998,0.11842917296950967,7.516152285274309,2.462217475338965,12.5,12.5,0.9943,0.9891,139,148,-9,90.07846709423411,90.14006707974139,-0.061599985507271526,-0.06833807373670778
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.10000000000000009,0.11889947288789499,7.522391466333666,2.4586108767214876,11.666666666666666,14.0,0.9931,0.9871,157,148,9,90.1532415059835,90.14006707974139,0.01317442624211651,0.014615505256349436
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.30000000000000004,0.3468735564489865,7.521804132760932,2.471842517960826,11.58749999999994,13.333333333333334,0.9945,0.9885,175,148,27,90.14620251769578,90.14006707974139,0.006135437954398526,0.0068065602269531044
Medium Uncertainty (σ/μ≈0.33),300,12,Mean Error,0.5,0.5464456558609536,7.521379027036887,2.464860435143974,11.583333333333334,13.25,0.9927,0.9882,193,148,45,90.14110777366697,90.14006707974139,0.0010406939255886982,0.00115452978825505
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.3,0.5213386600879211,6.713825990616881,1.5415333795587456,7.75,7.75,0.9908,0.9857,82,148,-66,80.46286592104683,90.14006707974139,-9.677201158694558,-10.735737693797956
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.5,0.3220042761854811,7.04389786645556,1.8513819794266113,8.583333333333334,8.583333333333334,0.9919,0.9863,92,148,-56,84.41866238152015,90.14006707974139,-5.721404698221235,-6.3472381190485025
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,0.7,0.16996841564642243,7.379520135971302,2.2253688655523804,10.083333333333334,10.083333333333334,0.9925,0.9872,110,148,-38,88.4409783768862,90.14006707974139,-1.6990887028551782,-1.8849427983585798
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,1.5,0.18097416977891262,7.521278448408849,2.4753412265959365,11.666666666666666,13.333333333333334,0.992,0.9865,242,148,94,90.13990237384374,90.14006707974139,-0.0001647058976459448,-0.00018272218224581484
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,2.5,0.3580221934675232,7.521278339176862,2.485175540124406,11.583333333333334,13.166666666666666,0.9921,0.9852,274,148,126,90.13990106473642,90.14006707974139,-0.00016601500496449262,-0.00018417448571191915
Medium Uncertainty (σ/μ≈0.33),300,12,Variance Error,4.0,0.46853654446266074,7.521278339050842,2.4585053167762396,11.583333333333334,13.416666666666666,0.9934,0.9883,277,148,129,90.13990106322612,90.14006707974139,-0.00016601651526571004,-0.0001841761612167932
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.2,0.11447170851652837,7.521278339023191,2.4699070498958418,11.666666666666666,13.333333333333334,0.9935,0.988,278,148,130,90.13990106289474,90.14006707974139,-0.00016601684664863114,-0.00018417652884789428
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.4,0.22894341703305676,7.521278339023191,2.4309175201595026,11.5,13.25,0.9934,0.988,278,148,130,90.13990106289474,90.14006707974139,-0.00016601684664863114,-0.00018417652884789428
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.6,0.3434151255495851,7.521278339023191,2.4748622520191756,11.666666666666666,13.25,0.9939,0.9875,278,148,130,90.13990106289474,90.14006707974139,-0.00016601684664863114,-0.00018417652884789428
Medium Uncertainty (σ/μ≈0.33),300,12,Poor Model,0.8,0.4578868340661135,7.521278339023191,2.472798061008026,11.583333333333334,13.25,0.9939,0.9888,278,148,130,90.13990106289474,90.14006707974139,-0.00016601684664863114,-0.00018417652884789428
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.5,0.5722534270580772,6.798676758102401,1.6371358369600295,8.11111111111111,8.11111111111111,0.9945,0.9888,65,98,-33,61.144138488906464,65.04818122971379,-3.904042740807327,-6.001770790516697
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.3,0.3707188705090395,7.123448224637174,2.0000381508277907,9.555555555555555,9.555555555555555,0.9962,0.992,78,98,-20,64.06498209327133,65.04818122971379,-0.9831991364424653,-1.5114936618602077
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,-0.09999999999999998,0.12862729448077426,7.221090002622818,2.192111540257503,11.0,11.0,0.9957,0.9898,91,98,-7,64.94312685700673,65.04818122971379,-0.10505437270705897,-0.1615023982547117
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.10000000000000009,0.1289278365192098,7.234875446052518,2.222391707263763,11.0,12.444444444444445,0.9955,0.9907,104,98,6,65.06710672723545,65.04818122971379,0.01892549752166417,0.02909458368225531
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.30000000000000004,0.3739143670774694,7.233511205976248,2.2111344969106232,10.783333333333253,12.555555555555555,0.9969,0.992,117,98,19,65.05483738613813,65.04818122971379,0.006656156424341475,0.010232655699988987
Low Uncertainty (σ/μ≈0.31),200,9,Mean Error,0.5,0.5833789693114331,7.232523565869337,2.215242781819618,10.88888888888889,12.444444444444445,0.9958,0.9912,130,98,32,65.0459550101078,65.04818122971379,-0.002226219605987012,-0.0034224163749102376
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.3,0.5215938918101936,6.529774256635109,1.401360217412757,7.444444444444445,7.444444444444445,0.9955,0.9902,59,98,-39,58.725754386421414,65.04818122971379,-6.3224268432923765,-9.719605873321964
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.5,0.32248060249813326,6.798676758102401,1.6081114727896066,8.11111111111111,8.11111111111111,0.9965,0.9929,65,98,-33,61.144138488906464,65.04818122971379,-3.904042740807327,-6.001770790516697
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,0.7,0.17048346319642052,7.074819542372098,1.9366504328403629,9.222222222222221,9.222222222222221,0.9954,0.9913,75,98,-23,63.62763832936825,65.04818122971379,-1.4205429003455379,-2.183831851238046
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,1.5,0.18486055900303192,7.232306559333872,2.2109733061858607,10.88888888888889,12.444444444444445,0.9952,0.9904,155,98,57,65.0440033542004,65.04818122971379,-0.004177875513391882,-0.0064227399358607155
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,2.5,0.3663652499604529,7.232304705685035,2.2278079828656385,10.88888888888889,12.444444444444445,0.996,0.99,181,98,83,65.0439866833444,65.04818122971379,-0.00419454636939065,-0.006448368409529943
Low Uncertainty (σ/μ≈0.31),200,9,Variance Error,4.0,0.47458484051346717,7.232304704696947,2.2020939912923803,10.88888888888889,12.333333333333334,0.996,0.9908,183,98,85,65.043986674458,65.04818122971379,-0.004194555255793375,-0.006448382070792344
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.2,0.11433408218395018,7.23230470437909,2.2047787168393262,10.88888888888889,12.444444444444445,0.9963,0.9924,184,98,86,65.04398667159934,65.04818122971379,-0.00419455811444891,-0.0064483864654663854
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.4,0.2286681643679004,7.23230470437909,2.2006802310811544,10.777777777777779,12.222222222222221,0.9948,0.9897,184,98,86,65.04398667159934,65.04818122971379,-0.00419455811444891,-0.0064483864654663854
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.6,0.3430022465518506,7.23230470437909,2.234486856593037,10.777777777777779,12.444444444444445,0.9954,0.988,184,98,86,65.04398667159934,65.04818122971379,-0.00419455811444891,-0.0064483864654663854
Low Uncertainty (σ/μ≈0.31),200,9,Poor Model,0.8,0.4573363287358008,7.23230470437909,2.2257600450322035,10.88888888888889,12.444444444444445,0.9951,0.9896,184,98,86,65.04398667159934,65.04818122971379,-0.00419455811444891,-0.0064483864654663854
